import_schema_version,assessment_id,assessment_version_id,source_id,source_version_id,source_path,source_content_sha256,session_no,assessment_class,activation_rule,answer_release_rule,time_limit_seconds,item_id,item_version_id,item_order,outcome_ids,demand,difficulty,item_time_seconds,prompt,response_type,rationale_required,rationale_min_words,rationale_max_words,shuffle_options,volatile,stale_check_rule,accessible_artifact_id,accessible_text,accessible_table_json,option_id,option_order,option_text
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q3,S4-Q3@1,3,S4-O3,First-prompt diagnosis,,50,Which addition most improves a vague first prompt?,single_choice,False,,,True,False,No,,,,S4-Q3-ADVANCED-STACK,3,“Use the most advanced stack”
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q3,S4-Q3@1,3,S4-O3,First-prompt diagnosis,,50,Which addition most improves a vague first prompt?,single_choice,False,,,True,False,No,,,,S4-Q3-COPY-SCREENSHOT,4,A screenshot and “copy this exactly”
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q4,S4-Q4@1,4,S4-O3,Plan-mode operating fact,,40,"Under Lovable’s documented behavior at the Session 4 source check, what happens in Plan mode?",single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q4-AUTO-PUBLISH,1,It publishes automatically when the plan is complete
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q4,S4-Q4@1,4,S4-O3,Plan-mode operating fact,,40,"Under Lovable’s documented behavior at the Session 4 source check, what happens in Plan mode?",single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q4-EDIT-FREE,2,It edits code immediately and costs nothing
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q4,S4-Q4@1,4,S4-O3,Plan-mode operating fact,,40,"Under Lovable’s documented behavior at the Session 4 source check, what happens in Plan mode?",single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q4-NO-EDIT-ONE-CREDIT,3,"It never changes code until approval, and each Plan message costs one credit"
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q4,S4-Q4@1,4,S4-O3,Plan-mode operating fact,,40,"Under Lovable’s documented behavior at the Session 4 source check, what happens in Plan mode?",single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q4-ALWAYS-CHEAPER,4,It always costs less than Build mode
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q5,S4-Q5@1,5,S4-O4,Publish/verification judgment,,50,A student has a tested app and zero build credits. What is the best current publication move?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q5-PUBLISH-INCOGNITO,1,"Use the Publish dialog, then verify the live URL in incognito"
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q5,S4-Q5@1,5,S4-O4,Publish/verification judgment,,50,A student has a tested app and zero build credits. What is the best current publication move?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q5-EDITOR-PREVIEW,2,Submit the editor preview
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q5,S4-Q5@1,5,S4-O4,Publish/verification judgment,,50,A student has a tested app and zero build credits. What is the best current publication move?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q5-BUY-CREDITS,3,Buy credits before the deadline
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q5,S4-Q5@1,5,S4-O4,Publish/verification judgment,,50,A student has a tested app and zero build credits. What is the best current publication move?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q5-CHAT-SHIP,4,Ask Lovable in chat to “ship it”
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q6,S4-Q6@1,6,S4-O5,Credit-plan reasoning,,50,Why can a student not assume ten days on Lovable Free equals fifty usable build credits?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q6-CANNOT-PUBLISH,1,Free accounts cannot publish
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q6,S4-Q6@1,6,S4-O5,Credit-plan reasoning,,50,Why can a student not assume ten days on Lovable Free equals fifty usable build credits?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q6-PLAN-FIVE,2,Plan mode costs five credits per message
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q6,S4-Q6@1,6,S4-O5,Credit-plan reasoning,,50,Why can a student not assume ten days on Lovable Free equals fifty usable build credits?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q6-HOSTING-ONLY,3,Credits are used only for hosting
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q6,S4-Q6@1,6,S4-O5,Credit-plan reasoning,,50,Why can a student not assume ten days on Lovable Free equals fifty usable build credits?,single_choice,False,,,True,True,"Yes, T-7",,,,S4-Q6-EXPIRY-CAP,4,Daily build grants do not roll over and the Free plan is capped at 30 per month
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q7,S4-Q7@1,7,S4-O4,Evidence quality,,50,Which submission is the strongest verification evidence?,single_choice,False,,,True,False,No,,,,S4-Q7-MODEL-CLAIM,1,A long list of features Lovable said it implemented
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q7,S4-Q7@1,7,S4-O4,Evidence quality,,50,Which submission is the strongest verification evidence?,single_choice,False,,,True,False,No,,,,S4-Q7-REPRODUCIBLE-EVIDENCE,2,"A public URL plus timestamped PASS/FAIL/NOT RUN log, negative test, incognito peer check and known limitations"
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q7,S4-Q7@1,7,S4-O4,Evidence quality,,50,Which submission is the strongest verification evidence?,single_choice,False,,,True,False,No,,,,S4-Q7-UNMAPPED-SCREENSHOTS,3,Three screenshots with no test IDs
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q7,S4-Q7@1,7,S4-O4,Evidence quality,,50,Which submission is the strongest verification evidence?,single_choice,False,,,True,False,No,,,,S4-Q7-LAPTOP-CLAIM,4,“It worked on my laptop”
